選手名,所属クラブ,国,リーグ,出身地,生年月日,身長,体重,ポジション
三笘 薫,ブライトン・アンド・ホーヴ・アルビオン,イングランド,プレミアリーグ,神奈川,1997/5/20,178,73,MF
鎌田 大地,クリスタル・パレス,イングランド,プレミアリーグ,愛媛,1996/8/5,184,76,MF
田中 碧,リーズ・ユナイテッド,イングランド,プレミアリーグ,神奈川,1998/9/10,180,70,MF
遠藤 航,リヴァプール,イングランド,プレミアリーグ,神奈川,1993/2/9,178,77,MF
高井 幸大,トッテナム・ホットスパー,イングランド,プレミアリーグ,神奈川,2004/9/4,192,85,DF
岩田 智輝,バーミンガム・シティ,イングランド,チャンピオンシップ,大分,1997/4/7,178,70,MF
藤本 寛也,バーミンガム・シティ,イングランド,チャンピオンシップ,山梨,1999/7/1,175,68,MF
古橋 亨梧,バーミンガム・シティ,イングランド,チャンピオンシップ,奈良,1995/1/20,170,63,FW
大橋 祐紀,ブラックバーン・ローバーズ,イングランド,チャンピオンシップ,千葉,1996/7/27,181,76,FW
平河 悠,ブリストル・シティ,イングランド,チャンピオンシップ,佐賀,2001/1/3,175,72,MF
坂元 達裕,コベントリー・シティ,イングランド,チャンピオンシップ,東京,1996/10/22,170,64,MF
菅原 由勢,ヴェルダー・ブレーメン,ドイツ,ブンデスリーガ,愛知,2000/6/28,179,69,DF
松木 玖生,サウサンプトン,イングランド,チャンピオンシップ,北海道,2003/4/30,180,78,MF
瀬古 樹,ストーク・シティ,イングランド,チャンピオンシップ,東京,1997/12/22,175,65,MF
鈴木 彩艶,パルマ,イタリア,セリエA,アメリカ,2002/8/21,190,93,GK
浅野 拓磨,RCDマジョルカ,スペイン,ラ・リーガ,三重,1994/11/10,173,71,FW
久保 建英,レアル・ソシエダ,スペイン,ラ・リーガ,神奈川,2001/6/4,173,64,MF
喜多 壱也,レアル・ソシエダB,スペイン,プリメーラ・フェデラシオン,京都,2004/3/1,178,72,DF
伊藤 洋輝,バイエルン・ミュンヘン,ドイツ,ブンデスリーガ,静岡,1999/5/12,188,78,DF
堂安 律,アイントラハト・フランクフルト,ドイツ,ブンデスリーガ,兵庫,1998/6/16,172,70,MF
鈴木 唯人,SCフライブルク,ドイツ,ブンデスリーガ,神奈川,2001/10/25,175,67,MF
町田 浩樹,TSGホッフェンハイム,ドイツ,ブンデスリーガ,茨城,1997/8/25,190,80,DF
川崎 颯太,FSVマインツ,ドイツ,ブンデスリーガ,山梨,2001/7/30,171,69,MF
佐野 海舟,FSVマインツ,ドイツ,ブンデスリーガ,岡山,2000/12/30,176,70,MF
福田 師王,カールスルーエSC,2. ドイツ,ブンデスリーガ,鹿児島,2004/4/8,178,70,FW
町野 修斗,ボルシア・メンヘングラードバッハ,ドイツ,ブンデスリーガ,三重,1999/9/30,185,77,FW
藤田 譲瑠チマ,FCザンクトパウリ,ドイツ,ブンデスリーガ,東京,2002/2/16,174,73,MF
三好 康児,ボーフム,ドイツ,2. ブンデスリーガ,神奈川,1997/3/26,167,64,MF
秋山 裕紀,ダルムシュタット,ドイツ,2. ブンデスリーガ,群馬,2000/8/13,173,68,MF
古川 陽介,ダルムシュタット,ドイツ,2. ブンデスリーガ,滋賀,2003/7/15,174,62,MF
アペルカンプ 真大,フォルトゥナ・デュッセルドルフ,ドイツ,2. ブンデスリーガ,東京,2000/11/1,177,69,MF
松田 隼風,ハノーファー,ドイツ,2. ブンデスリーガ,北海道,2003/12/2,175,71,DF
横田 大祐,ハノーファー,ドイツ,2. ブンデスリーガ,東京,2000/6/15,170,68,MF
板倉 滉,アヤックス・アムステルダム,オランダ,エールディヴィジ,神奈川,1997/1/27,186,75,DF
毎熊 晟矢,AZアルクマール,オランダ,エールディヴィジ,長崎,1997/10/16,179,72,DF
上田 綺世,フェイエノールト・ロッテルダム,オランダ,エールディヴィジ,茨城,1998/8/28,182,76,FW
渡辺 剛,フェイエノールト・ロッテルダム,オランダ,エールディヴィジ,埼玉,1997/2/5,186,78,DF
小川 航基,NECナイメヘン,オランダ,エールディヴィジ,神奈川,1997/8/8,186,78,FW
佐野 航大,NECナイメヘン,オランダ,エールディヴィジ,岡山,2003/9/25,176,61,MF
塩貝 健人,NECナイメヘン,オランダ,エールディヴィジ,東京,2005/3/12,178,72,FW
三戸 舜介,スパルタ・ロッテルダム,オランダ,エールディヴィジ,山口,2002/9/28,164,58,MF
オナイウ 阿道,AJオセール,フランス,リーグ・アン,埼玉,1995/11/8,180,75,FW
瀬古 歩夢,ル・アーヴル,フランス,リーグ・アン,大阪,2000/6/7,185,73,DF
南野 拓実,ASモナコFC,フランス,リーグ・アン,大阪,1995/1/16,174,68,MF
福井 太智,アロウカ,ポルトガル,プリメイラ・リーガ,神奈川,2004/7/15,172,66,MF
守田 英正,スポルティング,ポルトガル,プリメイラ・リーガ,大阪,1995/5/10,177,74,MF
綱島 悠斗,ロイヤル・アントワープ,ベルギー,ジュピラー・プロ・リーグ,神奈川,2000/8/15,188,80,MF
野沢 大志ブランドン,ロイヤル・アントワープ,ベルギー,ジュピラー・プロ・リーグ,沖縄,2002/12/25,193,89,GK
伊東 純也,ゲンク,ベルギー,ジュピラー・プロ・リーグ,神奈川,1993/3/9,176,66,FW
横山 歩夢,ゲンク,ベルギー,ジュピラー・プロ・リーグ,東京,2003/3/4,170,61,MF
伊藤 敦樹,ヘント,ベルギー,ジュピラー・プロ・リーグ,埼玉,1998/8/11,185,80,MF
明本 考浩,ルーヴェン,ベルギー,ジュピラー・プロ・リーグ,栃木,1998/3/9,170,70,MF
大南 拓磨,ルーヴェン,ベルギー,ジュピラー・プロ・リーグ,愛知,1997/12/13,184,76,DF
伊藤 涼太郎,シント＝トロイデン,ベルギー,ジュピラー・プロ・リーグ,大阪,1998/2/6,174,67,MF
小久保 玲央ブライアン,シント＝トロイデン,ベルギー,ジュピラー・プロ・リーグ,千葉,2001/1/23,193,84,GK
後藤 啓介,シント＝トロイデン,ベルギー,ジュピラー・プロ・リーグ,静岡,2005/6/3,191,78,FW
谷口 彰悟,シント＝トロイデン,ベルギー,ジュピラー・プロ・リーグ,熊本,1991/7/9,183,75,DF
畑 大雅,シント＝トロイデン,ベルギー,ジュピラー・プロ・リーグ,東京,2002/2/1,177,70,DF
松澤 海斗,シント＝トロイデン,ベルギー,ジュピラー・プロ・リーグ,神奈川,2001/11/10,180,74,MF
山本 理仁,シント＝トロイデン,ベルギー,ジュピラー・プロ・リーグ,神奈川,2001/12/12,178,68,MF
木村 誠二,ウェステルロー,ベルギー,ジュピラー・プロ・リーグ,千葉,2001/8/24,186,80,DF
坂本 一彩,ウェステルロー,ベルギー,ジュピラー・プロ・リーグ,熊本,2003/8/26,173,66,FW
稲村 隼翔,セルティック,スコットランド,スコティッシュ・プレミアシップ,東京,2002/5/6,184,78,DF
旗手 怜央,セルティック,スコットランド,スコティッシュ・プレミアシップ,三重,1997/11/21,172,70,MF
前田 大然,セルティック,スコットランド,スコティッシュ・プレミアシップ,大阪,1997/10/20,173,67,FW
山田 新,セルティック,スコットランド,スコティッシュ・プレミアシップ,神奈川,2000/5/30,175,70,FW