年,リーグ,順位,チーム,試合,勝,分,負,得点,失点,得失点差,勝点
2024.0,J1,1,ヴィッセル神戸,38,21,9,8,61,36,25,72
,,2,サンフレッチェ広島,38,19,11,8,72,43,29,68
,,3,ＦＣ町田ゼルビア,38,19,9,10,54,34,20,66
,,4,ガンバ大阪,38,18,12,8,49,35,14,66
,,5,鹿島アントラーズ,38,18,11,9,60,41,19,65
,,6,東京ヴェルディ,38,14,14,10,51,51,0,56
,,7,ＦＣ東京,38,15,9,14,53,51,2,54
,,8,川崎フロンターレ,38,13,13,12,66,57,9,52
,,9,横浜Ｆ・マリノス,38,15,7,16,61,62,-1,52
,,10,セレッソ大阪,38,13,13,12,43,48,-5,52
,,11,名古屋グランパス,38,15,5,18,44,47,-3,50
,,12,アビスパ福岡,38,12,14,12,33,38,-5,50
,,13,浦和レッズ,38,12,12,14,49,45,4,48
,,14,京都サンガF.C.,38,12,11,15,43,55,-12,47
,,15,湘南ベルマーレ,38,12,9,17,53,58,-5,45
,,16,アルビレックス新潟,38,10,12,16,44,59,-15,42
,,17,柏レイソル,38,9,14,15,39,51,-12,41
,,18,ジュビロ磐田,38,10,8,20,47,68,-21,38
,,19,北海道コンサドーレ札幌,38,9,10,19,43,66,-23,37
,,20,サガン鳥栖,38,10,5,23,48,68,-20,35
2023.0,J1,1,ヴィッセル神戸,34,21,8,5,60,29,31,71
,,2,横浜Ｆ・マリノス,34,19,7,8,63,40,23,64
,,3,サンフレッチェ広島,34,17,7,10,42,28,14,58
,,4,浦和レッズ,34,15,12,7,42,27,15,57
,,5,鹿島アントラーズ,34,14,10,10,43,34,9,52
,,6,名古屋グランパス,34,14,10,10,41,36,5,52
,,7,アビスパ福岡,34,15,6,13,37,43,-6,51
,,8,川崎フロンターレ,34,14,8,12,51,45,6,50
,,9,セレッソ大阪,34,15,4,15,39,34,5,49
,,10,アルビレックス新潟,34,11,12,11,36,40,-4,45
,,11,ＦＣ東京,34,12,7,15,42,46,-4,43
,,12,北海道コンサドーレ札幌,34,10,10,14,56,61,-5,40
,,13,京都サンガF.C.,34,12,4,18,40,45,-5,40
,,14,サガン鳥栖,34,9,11,14,43,47,-4,38
,,15,湘南ベルマーレ,34,8,10,16,40,56,-16,34
,,16,ガンバ大阪,34,9,7,18,38,61,-23,34
,,17,柏レイソル,34,6,15,13,33,47,-14,33
,,18,横浜ＦＣ,34,7,8,19,31,58,-27,29
2022.0,J1,1,横浜Ｆ・マリノス,34,20,8,6,70,35,35,68
,,2,川崎フロンターレ,34,20,6,8,65,42,23,66
,,3,サンフレッチェ広島,34,15,10,9,52,41,11,55
,,4,鹿島アントラーズ,34,13,13,8,47,42,5,52
,,5,セレッソ大阪,34,13,12,9,46,40,6,51
,,6,ＦＣ東京,34,14,7,13,46,43,3,49
,,7,柏レイソル,34,13,8,13,43,44,-1,47
,,8,名古屋グランパス,34,11,13,10,30,35,-5,46
,,9,浦和レッズ,34,10,15,9,48,39,9,45
,,10,北海道コンサドーレ札幌,34,11,12,11,45,55,-10,45
,,11,サガン鳥栖,34,9,15,10,45,44,1,42
,,12,湘南ベルマーレ,34,10,11,13,31,39,-8,41
,,13,ヴィッセル神戸,34,11,7,16,35,41,-6,40
,,14,アビスパ福岡,34,9,11,14,29,38,-9,38
,,15,ガンバ大阪,34,9,10,15,33,44,-11,37
,,16,京都サンガF.C.,34,8,12,14,30,38,-8,36
,,17,清水エスパルス,34,7,12,15,44,54,-10,33
,,18,ジュビロ磐田,34,6,12,16,32,57,-25,30
2021.0,J1,1,川崎フロンターレ,38,28,8,2,81,28,53,92
,,2,横浜Ｆ・マリノス,38,24,7,7,82,35,47,79
,,3,ヴィッセル神戸,38,21,10,7,62,36,26,73
,,4,鹿島アントラーズ,38,21,6,11,62,36,26,69
,,5,名古屋グランパス,38,19,9,10,44,30,14,66
,,6,浦和レッズ,38,18,9,11,45,38,7,63
,,7,サガン鳥栖,38,16,11,11,43,35,8,59
,,8,アビスパ福岡,38,14,12,12,42,37,5,54
,,9,ＦＣ東京,38,15,8,15,49,53,-4,53
,,10,北海道コンサドーレ札幌,38,14,9,15,48,50,-2,51
,,11,サンフレッチェ広島,38,12,13,13,44,42,2,49
,,12,セレッソ大阪,38,13,9,16,47,51,-4,48
,,13,ガンバ大阪,38,12,8,18,33,49,-16,44
,,14,清水エスパルス,38,10,12,16,37,54,-17,42
,,15,柏レイソル,38,12,5,21,37,56,-19,41
,,16,湘南ベルマーレ,38,7,16,15,36,41,-5,37
,,17,徳島ヴォルティス,38,10,6,22,34,55,-21,36
,,18,大分トリニータ,38,9,8,21,31,55,-24,35
,,19,ベガルタ仙台,38,5,13,20,31,62,-31,28
,,20,横浜ＦＣ,38,6,9,23,32,77,-45,27
2020.0,J1,1,川崎フロンターレ,34,26,5,3,88,31,57,83
,,2,ガンバ大阪,34,20,5,9,46,42,4,65
,,3,名古屋グランパス,34,19,6,9,45,28,17,63
,,4,セレッソ大阪,34,18,6,10,46,37,9,60
,,5,鹿島アントラーズ,34,18,5,11,55,44,11,59
,,6,ＦＣ東京,34,17,6,11,47,42,5,57
,,7,柏レイソル,34,15,7,12,60,46,14,52
,,8,サンフレッチェ広島,34,13,9,12,46,37,9,48
,,9,横浜Ｆ・マリノス,34,14,5,15,69,59,10,47
,,10,浦和レッズ,34,13,7,14,43,56,-13,46
,,11,大分トリニータ,34,11,10,13,36,45,-9,43
,,12,北海道コンサドーレ札幌,34,10,9,15,47,58,-11,39
,,13,サガン鳥栖,34,7,15,12,37,43,-6,36
,,14,ヴィッセル神戸,34,9,9,16,50,59,-9,36
,,15,横浜ＦＣ,34,9,6,19,38,60,-22,33
,,16,清水エスパルス,34,7,7,20,48,70,-22,28
,,17,ベガルタ仙台,34,6,10,18,36,61,-25,28
,,18,湘南ベルマーレ,34,6,9,19,29,48,-19,27
2019.0,J1,1,横浜Ｆ・マリノス,34,22,4,8,68,38,30,70
,,2,ＦＣ東京,34,19,7,8,46,29,17,64
,,3,鹿島アントラーズ,34,18,9,7,54,30,24,63
,,4,川崎フロンターレ,34,16,12,6,57,34,23,60
,,5,セレッソ大阪,34,18,5,11,39,25,14,59
,,6,サンフレッチェ広島,34,15,10,9,45,29,16,55
,,7,ガンバ大阪,34,12,11,11,54,48,6,47
,,8,ヴィッセル神戸,34,14,5,15,61,59,2,47
,,9,大分トリニータ,34,12,11,11,35,35,0,47
,,10,北海道コンサドーレ札幌,34,13,7,14,54,49,5,46
,,11,ベガルタ仙台,34,12,5,17,38,45,-7,41
,,12,清水エスパルス,34,11,6,17,45,69,-24,39
,,13,名古屋グランパス,34,9,10,15,45,50,-5,37
,,14,浦和レッズ,34,9,10,15,34,50,-16,37
,,15,サガン鳥栖,34,10,6,18,32,53,-21,36
,,16,湘南ベルマーレ,34,10,6,18,40,63,-23,36
,,17,松本山雅FC,34,6,13,15,21,40,-19,31
,,18,ジュビロ磐田,34,8,7,19,29,51,-22,31
2018.0,J1,1,川崎フロンターレ,34,21,6,7,57,27,30,69
,,2,サンフレッチェ広島,34,17,6,11,47,35,12,57
,,3,鹿島アントラーズ,34,16,8,10,50,39,11,56
,,4,北海道コンサドーレ札幌,34,15,10,9,48,48,0,55
,,5,浦和レッズ,34,14,9,11,51,39,12,51
,,6,ＦＣ東京,34,14,8,12,39,34,5,50
,,7,セレッソ大阪,34,13,11,10,39,38,1,50
,,8,清水エスパルス,34,14,7,13,56,48,8,49
,,9,ガンバ大阪,34,14,6,14,41,46,-5,48
,,10,ヴィッセル神戸,34,12,9,13,45,52,-7,45
,,11,ベガルタ仙台,34,13,6,15,44,54,-10,45
,,12,横浜Ｆ・マリノス,34,12,5,17,56,56,0,41
,,13,湘南ベルマーレ,34,10,11,13,38,43,-5,41
,,14,サガン鳥栖,34,10,11,13,29,34,-5,41
,,15,名古屋グランパス,34,12,5,17,52,59,-7,41
,,16,ジュビロ磐田,34,10,11,13,35,48,-13,41
,,17,柏レイソル,34,12,3,19,47,54,-7,39
,,18,Ｖ・ファーレン長崎,34,8,6,20,39,59,-20,30
2017.0,J2,1,川崎フロンターレ,34,21,9,4,71,32,39,72
,,2,鹿島アントラーズ,34,23,3,8,53,31,22,72
,,3,セレッソ大阪,34,19,6,9,65,43,22,63
,,4,柏レイソル,34,18,8,8,49,33,16,62
,,5,横浜Ｆ・マリノス,34,17,8,9,45,36,9,59
,,6,ジュビロ磐田,34,16,10,8,50,30,20,58
,,7,浦和レッズ,34,14,7,13,64,54,10,49
,,8,サガン鳥栖,34,13,8,13,41,44,-3,47
,,9,ヴィッセル神戸,34,13,5,16,40,45,-5,44
,,10,ガンバ大阪,34,11,10,13,48,41,7,43
,,11,北海道コンサドーレ札幌,34,12,7,15,39,47,-8,43
,,12,ベガルタ仙台,34,11,8,15,44,53,-9,41
,,13,ＦＣ東京,34,10,10,14,37,42,-5,40
,,14,清水エスパルス,34,8,10,16,36,54,-18,34
,,15,サンフレッチェ広島,34,8,9,17,32,49,-17,33
,,16,ヴァンフォーレ甲府,34,7,11,16,23,39,-16,32
,,17,アルビレックス新潟,34,7,7,20,28,60,-32,28
,,18,ＲＢ大宮アルディージャ,34,5,10,19,28,60,-32,25
2016.0,J1,1,鹿島アントラーズ,34,18,5,11,53,34,19,59
,,2,浦和レッズ,34,23,5,6,61,28,33,74
,,3,川崎,34,22,6,6,68,39,29,72
,,4,ガンバ大阪,34,17,7,10,53,42,11,58
,,5,ＲＢ大宮アルディージャ,34,15,11,8,41,36,5,56
,,6,サンフレッチェ広島,34,16,7,11,58,40,18,55
,,7,ヴィッセル神戸,34,16,7,11,56,43,13,55
,,8,柏レイソル,34,15,9,10,52,44,8,54
,,9,ＦＣ東京,34,15,7,12,39,39,0,52
,,10,横浜Ｆ・マリノス,34,13,12,9,53,38,15,51
,,11,サガン鳥栖,34,12,10,12,36,37,−1,46
,,12,ベガルタ仙台,34,13,4,17,39,48,−9,43
,,13,ジュビロ磐田,34,8,12,14,37,50,−13,36
,,14,ヴァンフォーレ甲府,34,7,10,17,32,58,−26,31
,,15,アルビレックス新潟,34,8,6,20,33,49,−16,30
,,16,名古屋グランパス,34,7,9,18,38,58,−20,30
,,17,湘南ベルマーレ,34,7,6,21,30,56,−26,27
,,18,アビスパ福岡,34,4,7,23,26,66,−40,19
2015.0,J1,1,サンフレッチェ広島,34,23,5,6,73,30,43,74
,,2,ガンバ大阪,34,18,9,7,56,37,19,63
,,3,浦和レッズ,34,21,9,4,69,40,29,72
,,4,ＦＣ東京,34,19,6,9,45,33,12,63
,,5,鹿島アントラーズ,34,18,5,11,57,41,16,59
,,6,川崎,34,17,6,11,62,48,14,57
,,7,横浜Ｆ・マリノス,34,15,10,9,45,32,13,55
,,8,湘南ベルマーレ,34,13,9,12,40,44,−4,48
,,9,名古屋グランパス,34,13,7,14,44,48,−4,46
,,10,柏レイソル,34,12,9,13,46,43,3,45
,,11,サガン鳥栖,34,9,13,12,37,54,−17,40
,,12,ヴィッセル神戸,34,10,8,16,44,49,−5,38
,,13,ヴァンフォーレ甲府,34,10,7,17,26,43,−17,37
,,14,ベガルタ仙台,34,9,8,17,44,48,−4,35
,,15,アルビレックス新潟,34,8,10,16,41,58,−17,34
,,16,松本山雅FC,34,7,7,20,30,54,−24,28
,,17,清水エスパルス,34,5,10,19,37,65,−28,25
,,18,モンテディオ山形,34,4,12,18,24,53,−29,24
2014.0,J1,1,ガンバ大阪,34,19,6,9,59,31,28,63
,,2,浦和レッズ,34,18,8,8,52,32,20,62
,,3,鹿島アントラーズ,34,18,6,10,64,39,25,60
,,4,柏レイソル,34,17,9,8,48,40,8,60
,,5,サガン鳥栖,34,19,3,12,41,33,8,60
,,6,川崎フロンターレ,34,16,7,11,56,43,13,55
,,7,横浜Ｆ・マリノス,34,14,9,11,37,29,8,51
,,8,サンフレッチェ広島,34,13,11,10,44,37,7,50
,,9,ＦＣ東京,34,12,12,10,47,33,14,48
,,10,名古屋グランパス,34,13,9,12,47,48,-1,48
,,11,ヴィッセル神戸,34,11,12,11,49,50,-1,45
,,12,アルビレックス新潟,34,12,8,14,30,36,-6,44
,,13,ヴァンフォーレ甲府,34,9,14,11,27,31,-4,41
,,14,ベガルタ仙台,34,9,11,14,35,50,-15,38
,,15,清水エスパルス,34,10,6,18,42,60,-18,36
,,16,ＲＢ大宮アルディージャ,34,9,8,17,44,60,-16,35
,,17,セレッソ大阪,34,7,10,17,36,48,-12,31
,,18,徳島ヴォルティス,34,3,5,26,16,74,-58,14
2024.0,J2,1,清水エスパルス,38,26,4,8,68,38,30,82
,,2,横浜ＦＣ,38,22,10,6,60,27,33,76
,,3,Ｖ・ファーレン長崎,38,21,12,5,74,39,35,75
,,4,モンテディオ山形,38,20,6,12,55,36,19,66
,,5,ファジアーノ岡山,38,17,14,7,48,29,19,65
,,6,ベガルタ仙台,38,18,10,10,50,44,6,64
,,7,ジェフユナイテッド千葉,38,19,4,15,67,48,19,61
,,8,徳島ヴォルティス,38,16,7,15,42,44,-2,55
,,9,いわきFC,38,15,9,14,53,41,12,54
,,10,ブラウブリッツ秋田,38,15,9,14,36,35,1,54
,,11,レノファ山口ＦＣ,38,15,8,15,43,44,-1,53
,,12,ロアッソ熊本,38,13,7,18,53,62,-9,46
,,13,藤枝ＭＹＦＣ,38,14,4,20,38,57,-19,46
,,14,ヴァンフォーレ甲府,38,12,9,17,54,57,-3,45
,,15,水戸ホーリーホック,38,11,11,16,39,51,-12,44
,,16,大分トリニータ,38,10,13,15,33,47,-14,43
,,17,愛媛ＦＣ,38,10,10,18,41,69,-28,40
,,18,栃木SC,38,7,13,18,33,57,-24,34
,,19,鹿児島ユナイテッドFC,38,7,9,22,35,59,-24,30
,,20,ザスパ群馬,38,3,9,26,24,62,-38,18
2023.0,J2,1,ＦＣ町田ゼルビア,42,26,9,7,79,35,44,87
,,2,ジュビロ磐田,42,21,12,9,74,44,30,75
,,3,東京ヴェルディ,42,21,12,9,57,31,26,75
,,4,清水エスパルス,42,20,14,8,78,34,44,74
,,5,モンテディオ山形,42,21,4,17,64,54,10,67
,,6,ジェフユナイテッド千葉,42,19,10,13,61,53,8,67
,,7,Ｖ・ファーレン長崎,42,18,11,13,70,56,14,65
,,8,ヴァンフォーレ甲府,42,18,10,14,60,50,10,64
,,9,大分トリニータ,42,17,11,14,54,56,-2,62
,,10,ファジアーノ岡山,42,13,19,10,49,49,0,58
,,11,ザスパ群馬,42,14,15,13,44,44,0,57
,,12,藤枝ＭＹＦＣ,42,14,10,18,61,72,-11,52
,,13,ブラウブリッツ秋田,42,12,15,15,37,44,-7,51
,,14,ロアッソ熊本,42,13,10,19,52,53,-1,49
,,15,徳島ヴォルティス,42,10,19,13,43,53,-10,49
,,16,ベガルタ仙台,42,12,12,18,48,61,-13,48
,,17,水戸ホーリーホック,42,11,14,17,49,66,-17,47
,,18,いわきFC,42,12,11,19,45,69,-24,47
,,19,栃木SC,42,10,14,18,39,47,-8,44
,,20,レノファ山口ＦＣ,42,10,14,18,37,67,-30,44
,,21,ＲＢ大宮アルディージャ,42,11,6,25,37,71,-34,39
,,22,ツエーゲン金沢,42,9,8,25,41,70,-29,35
2022.0,J2,1,アルビレックス新潟,42,25,9,8,73,35,38,84
,,2,横浜ＦＣ,42,23,11,8,66,49,17,80
,,3,ファジアーノ岡山,42,20,12,10,61,42,19,72
,,4,ロアッソ熊本,42,18,13,11,58,48,10,67
,,5,大分トリニータ,42,17,15,10,62,52,10,66
,,6,モンテディオ山形,42,17,13,12,62,40,22,64
,,7,ベガルタ仙台,42,18,9,15,67,59,8,63
,,8,徳島ヴォルティス,42,13,23,6,48,35,13,62
,,9,東京ヴェルディ,42,16,13,13,62,55,7,61
,,10,ジェフユナイテッド千葉,42,17,10,15,44,42,2,61
,,11,Ｖ・ファーレン長崎,42,15,11,16,50,54,-4,56
,,12,ブラウブリッツ秋田,42,15,11,16,39,46,-7,56
,,13,水戸ホーリーホック,42,14,12,16,47,46,1,54
,,14,ツエーゲン金沢,42,13,13,16,56,69,-13,52
,,15,ＦＣ町田ゼルビア,42,14,9,19,51,50,1,51
,,16,レノファ山口ＦＣ,42,13,11,18,51,54,-3,50
,,17,栃木SC,42,11,16,15,32,40,-8,49
,,18,ヴァンフォーレ甲府,42,11,15,16,47,54,-7,48
,,19,ＲＢ大宮アルディージャ,42,10,13,19,48,64,-16,43
,,20,ザスパ群馬,42,11,9,22,36,57,-21,42
,,21,FC琉球,42,8,13,21,41,65,-24,37
,,22,いわてグルージャ盛岡,42,9,7,26,35,80,-45,34
2021.0,J2,1,ジュビロ磐田,42,27,10,5,75,42,33,91
,,2,京都サンガF.C.,42,24,12,6,59,31,28,84
,,3,ヴァンフォーレ甲府,42,23,11,8,65,38,27,80
,,4,Ｖ・ファーレン長崎,42,23,9,10,69,44,25,78
,,5,ＦＣ町田ゼルビア,42,20,12,10,64,38,26,72
,,6,アルビレックス新潟,42,18,14,10,61,40,21,68
,,7,モンテディオ山形,42,20,8,14,61,49,12,68
,,8,ジェフユナイテッド千葉,42,17,15,10,48,36,12,66
,,9,FC琉球,42,18,11,13,57,47,10,65
,,10,水戸ホーリーホック,42,16,11,15,59,50,9,59
,,11,ファジアーノ岡山,42,15,14,13,40,36,4,59
,,12,東京ヴェルディ,42,16,10,16,62,66,-4,58
,,13,ブラウブリッツ秋田,42,11,14,17,41,53,-12,47
,,14,栃木SC,42,10,15,17,37,51,-14,45
,,15,レノファ山口ＦＣ,42,10,13,19,37,51,-14,43
,,16,ＲＢ大宮アルディージャ,42,9,15,18,51,56,-5,42
,,17,ツエーゲン金沢,42,10,11,21,39,60,-21,41
,,18,ザスパ群馬,42,9,14,19,35,56,-21,41
,,19,SC相模原,42,8,14,20,33,54,-21,38
,,20,愛媛ＦＣ,42,7,14,21,38,67,-29,35
,,21,ギラヴァンツ北九州,42,7,14,21,35,66,-31,35
,,22,松本山雅FC,42,7,13,22,36,71,-35,34
2020.0,J2,1,徳島ヴォルティス,42,25,9,8,67,33,34,84
,,2,アビスパ福岡,42,25,9,8,51,29,22,84
,,3,Ｖ・ファーレン長崎,42,23,11,8,66,39,27,80
,,4,ヴァンフォーレ甲府,42,16,17,9,50,41,9,65
,,5,ギラヴァンツ北九州,42,19,8,15,59,51,8,65
,,6,ジュビロ磐田,42,16,15,11,58,47,11,63
,,7,モンテディオ山形,42,17,11,14,59,42,17,62
,,8,京都サンガF.C.,42,16,11,15,47,45,2,59
,,9,水戸ホーリーホック,42,16,10,16,68,62,6,58
,,10,栃木SC,42,15,13,14,41,39,2,58
,,11,アルビレックス新潟,42,14,15,13,55,55,0,57
,,12,東京ヴェルディ,42,13,15,14,48,48,0,54
,,13,松本山雅FC,42,13,15,14,44,52,-8,54
,,14,ジェフユナイテッド千葉,42,15,8,19,47,51,-4,53
,,15,ＲＢ大宮アルディージャ,42,14,11,17,43,52,-9,53
,,16,FC琉球,42,14,8,20,58,61,-3,50
,,17,ファジアーノ岡山,42,12,14,16,39,49,-10,50
,,18,ツエーゲン金沢,42,12,13,17,57,67,-10,49
,,19,ＦＣ町田ゼルビア,42,12,13,17,41,52,-11,49
,,20,ザスパ群馬,42,15,4,23,40,62,-22,49
,,21,愛媛ＦＣ,42,8,10,24,38,68,-30,34
,,22,レノファ山口ＦＣ,42,9,6,27,43,74,-31,33
2019.0,J2,1,柏レイソル,42,25,9,8,85,33,52,84
,,2,横浜ＦＣ,42,23,10,9,66,40,26,79
,,3,ＲＢ大宮アルディージャ,42,20,15,7,62,40,22,75
