年,リーグ,順位,チーム,試合,勝,分,負,得点,失点,得失点差,勝点
,,4,徳島ヴォルティス,42,21,10,11,67,45,22,73
,,5,ヴァンフォーレ甲府,42,20,11,11,64,40,24,71
,,6,モンテディオ山形,42,20,10,12,59,40,19,70
,,7,水戸ホーリーホック,42,19,13,10,56,37,19,70
,,8,京都サンガF.C.,42,19,11,12,59,56,3,68
,,9,ファジアーノ岡山,42,18,11,13,49,47,2,65
,,10,アルビレックス新潟,42,17,11,14,71,52,19,62
,,11,ツエーゲン金沢,42,15,16,11,58,46,12,61
,,12,Ｖ・ファーレン長崎,42,17,5,20,57,61,-4,56
,,13,東京ヴェルディ,42,14,13,15,59,59,0,55
,,14,FC琉球,42,13,10,19,57,80,-23,49
,,15,レノファ山口ＦＣ,42,13,8,21,54,70,-16,47
,,16,アビスパ福岡,42,12,8,22,39,62,-23,44
,,17,ジェフユナイテッド千葉,42,10,13,19,46,64,-18,43
,,18,ＦＣ町田ゼルビア,42,9,16,17,36,59,-23,43
,,19,愛媛ＦＣ,42,12,6,24,46,62,-16,42
,,20,栃木SC,42,8,16,18,33,53,-20,40
,,21,鹿児島ユナイテッドFC,42,11,7,24,41,73,-32,40
,,22,FC岐阜,42,7,9,26,33,78,-45,30
2018.0,J2,1,松本山雅FC,42,21,14,7,54,34,20,77
,,2,大分トリニータ,42,23,7,12,76,51,25,76
,,3,横浜ＦＣ,42,21,13,8,63,44,19,76
,,4,ＦＣ町田ゼルビア,42,21,13,8,62,44,18,76
,,5,ＲＢ大宮アルディージャ,42,21,8,13,65,48,17,71
,,6,東京ヴェルディ,42,19,14,9,56,41,15,71
,,7,アビスパ福岡,42,19,13,10,58,42,16,70
,,8,レノファ山口ＦＣ,42,16,13,13,63,64,-1,61
,,9,ヴァンフォーレ甲府,42,16,11,15,56,46,10,59
,,10,水戸ホーリーホック,42,16,9,17,48,46,2,57
,,11,徳島ヴォルティス,42,16,8,18,48,42,6,56
,,12,モンテディオ山形,42,14,14,14,49,51,-2,56
,,13,ツエーゲン金沢,42,14,13,15,52,48,4,55
,,14,ジェフユナイテッド千葉,42,16,7,19,72,72,0,55
,,15,ファジアーノ岡山,42,14,11,17,39,43,-4,53
,,16,アルビレックス新潟,42,15,8,19,48,56,-8,53
,,17,栃木SC,42,13,11,18,38,48,-10,50
,,18,愛媛ＦＣ,42,12,12,18,34,52,-18,48
,,19,京都サンガF.C.,42,12,7,23,40,58,-18,43
,,20,FC岐阜,42,11,9,22,44,62,-18,42
,,21,ロアッソ熊本,42,9,7,26,50,79,-29,34
,,22,カマタマーレ讃岐,42,7,10,25,28,72,-44,31
2017.0,J2,1,湘南ベルマーレ,42,24,11,7,58,36,22,83
,,2,Ｖ・ファーレン長崎,42,24,8,10,59,41,18,80
,,3,名古屋グランパス,42,23,6,13,85,65,20,75
,,4,アビスパ福岡,42,21,11,10,54,36,18,74
,,5,東京ヴェルディ,42,20,10,12,64,49,15,70
,,6,ジェフユナイテッド千葉,42,20,8,14,70,58,12,68
,,7,徳島ヴォルティス,42,18,13,11,71,45,26,67
,,8,松本山雅FC,42,19,9,14,61,45,16,66
,,9,大分トリニータ,42,17,13,12,58,50,8,64
,,10,横浜ＦＣ,42,17,12,13,60,49,11,63
,,11,モンテディオ山形,42,14,17,11,45,47,-2,59
,,12,京都サンガF.C.,42,14,15,13,55,47,8,57
,,13,ファジアーノ岡山,42,13,16,13,44,49,-5,55
,,14,水戸ホーリーホック,42,14,12,16,45,48,-3,54
,,15,愛媛ＦＣ,42,14,9,19,54,68,-14,51
,,16,ＦＣ町田ゼルビア,42,11,17,14,53,53,0,50
,,17,ツエーゲン金沢,42,13,10,19,49,67,-18,49
,,18,FC岐阜,42,11,13,18,56,68,-12,46
,,19,カマタマーレ讃岐,42,8,14,20,41,61,-20,38
,,20,レノファ山口ＦＣ,42,11,5,26,48,69,-21,38
,,21,ロアッソ熊本,42,9,10,23,36,59,-23,37
,,22,ザスパ群馬,42,5,5,32,32,88,-56,20
2016.0,J2,1,北海道コンサドーレ札幌,42,25,10,7,65,33,32,85
,,2,清水エスパルス,42,25,9,8,85,37,48,84
,,3,松本山雅FC,42,24,12,6,62,32,30,84
,,4,セレッソ大阪,42,23,9,10,62,46,16,78
,,5,京都サンガF.C.,42,18,15,9,50,37,13,69
,,6,ファジアーノ岡山,42,17,14,11,58,44,14,65
,,7,ＦＣ町田ゼルビア,42,18,11,13,53,44,9,65
,,8,横浜ＦＣ,42,16,11,15,50,51,-1,59
,,9,徳島ヴォルティス,42,16,9,17,46,42,4,57
,,10,愛媛ＦＣ,42,12,20,10,41,40,1,56
,,11,ジェフユナイテッド千葉,42,13,14,15,52,53,-1,53
,,12,レノファ山口ＦＣ,42,14,11,17,55,63,-8,53
,,13,水戸ホーリーホック,42,10,18,14,45,49,-4,48
,,14,モンテディオ山形,42,11,14,17,43,49,-6,47
,,15,Ｖ・ファーレン長崎,42,10,17,15,39,51,-12,47
,,16,ロアッソ熊本,42,12,10,20,38,53,-15,46
,,17,ザスパ群馬,42,11,12,19,52,66,-14,45
,,18,東京ヴェルディ,42,10,13,19,43,61,-18,43
,,19,カマタマーレ讃岐,42,10,13,19,43,62,-19,43
,,20,FC岐阜,42,12,7,23,47,71,-24,43
,,21,ツエーゲン金沢,42,8,15,19,36,60,-24,39
,,22,ギラヴァンツ北九州,42,8,14,20,43,64,-21,38
2015.0,J2,1,ＲＢ大宮アルディージャ,42,26,8,8,72,37,35,86
,,2,ジュビロ磐田,42,24,10,8,72,43,29,82
,,3,アビスパ福岡,42,24,10,8,63,37,26,82
,,4,セレッソ大阪,42,18,13,11,57,40,17,67
,,5,愛媛ＦＣ,42,19,8,15,47,39,8,65
,,6,Ｖ・ファーレン長崎,42,15,15,12,42,33,9,60
,,7,ギラヴァンツ北九州,42,18,5,19,59,58,1,59
,,8,東京ヴェルディ,42,16,10,16,43,41,2,58
,,9,ジェフユナイテッド千葉,42,15,12,15,50,45,5,57
,,10,北海道コンサドーレ札幌,42,14,15,13,47,43,4,57
,,11,ファジアーノ岡山,42,12,18,12,40,35,5,54
,,12,ツエーゲン金沢,42,12,18,12,46,43,3,54
,,13,ロアッソ熊本,42,13,14,15,42,45,-3,53
,,14,徳島ヴォルティス,42,13,14,15,35,44,-9,53
,,15,横浜ＦＣ,42,13,13,16,33,58,-25,52
,,16,カマタマーレ讃岐,42,12,15,15,30,33,-3,51
,,17,京都サンガF.C.,42,12,14,16,45,51,-6,50
,,18,ザスパ群馬,42,13,9,20,34,56,-22,48
,,19,水戸ホーリーホック,42,10,16,16,40,47,-7,46
,,20,FC岐阜,42,12,7,23,37,71,-34,43
,,21,大分トリニータ,42,8,14,20,41,51,-10,38
,,22,栃木SC,42,7,14,21,39,64,-25,35
2014.0,J2,1,湘南ベルマーレ,42,31,8,3,86,25,61,101
,,2,松本山雅FC,42,24,11,7,65,35,30,83
,,3,ジェフユナイテッド千葉,42,18,14,10,55,44,11,68
,,4,ジュビロ磐田,42,18,13,11,67,55,12,67
,,5,ギラヴァンツ北九州,42,18,11,13,50,50,0,65
,,6,モンテディオ山形,42,18,10,14,57,44,13,64
,,7,大分トリニータ,42,17,12,13,52,55,-3,63
,,8,ファジアーノ岡山,42,15,16,11,52,48,4,61
,,9,京都サンガF.C.,42,14,18,10,57,52,5,60
,,10,北海道コンサドーレ札幌,42,15,14,13,48,44,4,59
,,11,横浜ＦＣ,42,14,13,15,49,47,2,55
,,12,栃木SC,42,15,10,17,52,58,-6,55
,,13,ロアッソ熊本,42,13,15,14,45,53,-8,54
,,14,Ｖ・ファーレン長崎,42,12,16,14,45,42,3,52
,,15,水戸ホーリーホック,42,12,14,16,46,46,0,50
,,16,アビスパ福岡,42,13,11,18,52,60,-8,50
,,17,FC岐阜,42,13,10,19,54,61,-7,49
,,18,ザスパ群馬,42,14,7,21,45,54,-9,49
,,19,愛媛ＦＣ,42,12,12,18,54,58,-4,48
,,20,東京ヴェルディ,42,9,15,18,31,48,-17,42
,,21,カマタマーレ讃岐,42,7,12,23,34,71,-37,33
,,22,カターレ富山,42,5,8,29,28,74,-46,23
2024.0,J3,1,ＲＢ大宮アルディージャ,38,25,10,3,72,32,40,85
,,2,ＦＣ今治,38,22,7,9,62,38,24,73
,,3,カターレ富山,38,16,16,6,54,36,18,64
,,4,松本山雅FC,38,16,12,10,61,45,16,60
,,5,福島ユナイテッドFC,38,18,5,15,64,49,15,59
,,6,ＦＣ大阪,38,15,13,10,43,31,12,58
,,7,ギラヴァンツ北九州,38,15,11,12,41,39,2,56
,,8,FC岐阜,38,15,8,15,64,56,8,53
,,9,SC相模原,38,14,11,13,41,41,0,53
,,10,アスルクラロ沼津,38,15,7,16,53,46,7,52
,,11,ヴァンラーレ八戸,38,13,13,12,44,42,2,52
,,12,ツエーゲン金沢,38,13,11,14,50,52,-2,50
,,13,ガイナーレ鳥取,38,14,8,16,49,65,-16,50
,,14,FC琉球,38,12,11,15,45,54,-9,47
,,15,テゲバジャーロ宮崎,38,12,10,16,46,50,-4,46
,,16,カマタマーレ讃岐,38,10,13,15,48,52,-4,43
,,17,奈良クラブ,38,7,18,13,43,56,-13,39
,,18,AC長野パルセイロ,38,7,16,15,44,57,-13,37
,,19,Ｙ．Ｓ．Ｃ．Ｃ．横浜,38,7,11,20,34,64,-30,32
,,20,いわてグルージャ盛岡,38,5,7,26,27,80,-53,22
2023.0,J3,1,愛媛ＦＣ,38,21,10,7,59,48,11,73
,,2,鹿児島ユナイテッドFC,38,18,8,12,58,41,17,62
,,3,カターレ富山,38,19,5,14,59,48,11,62
,,4,ＦＣ今治,38,16,11,11,54,42,12,59
,,5,奈良クラブ,38,15,12,11,45,32,13,57
,,6,ガイナーレ鳥取,38,14,14,10,57,52,5,56
,,7,ヴァンラーレ八戸,38,15,11,12,49,47,2,56
,,8,FC岐阜,38,14,12,12,44,35,9,54
,,9,松本山雅FC,38,15,9,14,51,47,4,54
,,10,いわてグルージャ盛岡,38,15,9,14,48,49,-1,54
,,11,ＦＣ大阪,38,14,11,13,41,38,3,53
,,12,Ｙ．Ｓ．Ｃ．Ｃ．横浜,38,14,10,14,48,50,-2,52
,,13,アスルクラロ沼津,38,15,6,17,48,48,0,51
,,14,AC長野パルセイロ,38,13,11,14,52,60,-8,50
,,15,福島ユナイテッドFC,38,12,11,15,37,42,-5,47
,,16,カマタマーレ讃岐,38,11,11,16,29,45,-16,44
,,17,FC琉球,38,12,7,19,43,61,-18,43
,,18,SC相模原,38,9,14,15,44,48,-4,41
,,19,テゲバジャーロ宮崎,38,9,12,17,31,52,-21,39
,,20,ギラヴァンツ北九州,38,7,10,21,33,45,-12,31
2022.0,J3,1,いわきFC,34,23,7,4,72,23,49,76
,,2,藤枝ＭＹＦＣ,34,20,7,7,58,29,29,67
,,3,鹿児島ユナイテッドFC,34,21,3,10,55,39,16,66
,,4,松本山雅FC,34,20,6,8,46,33,13,66
,,5,ＦＣ今治,34,18,6,10,55,40,15,60
,,6,カターレ富山,34,19,3,12,55,48,7,60
,,7,愛媛ＦＣ,34,14,10,10,51,41,10,52
,,8,AC長野パルセイロ,34,14,10,10,42,41,1,52
,,9,テゲバジャーロ宮崎,34,12,10,12,45,47,-2,46
,,10,ヴァンラーレ八戸,34,14,1,19,32,46,-14,43
,,11,福島ユナイテッドFC,34,11,9,14,37,45,-8,42
,,12,ガイナーレ鳥取,34,12,5,17,55,56,-1,41
,,13,ギラヴァンツ北九州,34,11,7,16,41,45,-4,40
,,14,FC岐阜,34,10,7,17,43,53,-10,37
,,15,アスルクラロ沼津,34,8,7,19,27,46,-19,31
,,16,Ｙ．Ｓ．Ｃ．Ｃ．横浜,34,8,4,22,25,66,-41,28
,,17,カマタマーレ讃岐,34,6,9,19,27,49,-22,27
,,18,SC相模原,34,6,7,21,31,50,-19,25
2021.0,J3,1,ロアッソ熊本,28,15,9,4,39,20,19,54
,,2,いわてグルージャ盛岡,28,15,8,5,43,28,15,53
,,3,テゲバジャーロ宮崎,28,16,5,7,44,31,13,53
,,4,カターレ富山,28,13,7,8,40,34,6,46
,,5,福島ユナイテッドFC,28,13,6,9,41,32,9,45
,,6,FC岐阜,28,12,5,11,38,35,3,41
,,7,鹿児島ユナイテッドFC,28,11,7,10,34,35,-1,40
,,8,Ｙ．Ｓ．Ｃ．Ｃ．横浜,28,11,7,10,31,33,-2,40
,,9,AC長野パルセイロ,28,8,12,8,35,28,7,36
,,10,藤枝ＭＹＦＣ,28,8,8,12,42,42,0,32
,,11,ＦＣ今治,28,7,9,12,34,33,1,30
,,12,ガイナーレ鳥取,28,9,2,17,36,53,-17,29
,,13,ヴァンラーレ八戸,28,7,8,13,24,44,-20,29
,,14,アスルクラロ沼津,28,7,6,15,32,44,-12,27
,,15,カマタマーレ讃岐,28,4,9,15,20,41,-21,21
2020.0,J3,1,ブラウブリッツ秋田,34,21,10,3,55,18,37,73
,,2,SC相模原,34,16,13,5,43,35,8,61
,,3,AC長野パルセイロ,34,17,8,9,45,26,19,59
,,4,鹿児島ユナイテッドFC,34,18,4,12,55,43,12,58
,,5,ガイナーレ鳥取,34,17,6,11,47,37,10,57
,,6,FC岐阜,34,16,8,10,50,39,11,56
,,7,ＦＣ今治,34,15,10,9,39,27,12,55
,,8,ロアッソ熊本,34,16,6,12,56,47,9,54
,,9,カターレ富山,34,15,5,14,52,43,9,50
,,10,藤枝ＭＹＦＣ,34,14,7,13,48,44,4,49
,,11,いわてグルージャ盛岡,34,11,9,14,36,47,-11,42
,,12,アスルクラロ沼津,34,12,5,17,36,40,-4,41
,,13,福島ユナイテッドFC,34,11,6,17,46,55,-9,39
,,14,ガンバ大阪U-23,34,9,8,17,43,55,-12,35
,,15,ヴァンラーレ八戸,34,8,9,17,42,56,-14,33
,,16,カマタマーレ讃岐,34,7,10,17,33,52,-19,31
,,17,Ｙ．Ｓ．Ｃ．Ｃ．横浜,34,5,12,17,37,66,-29,27
,,18,セレッソU-23,34,5,10,19,28,61,-33,25
2019.0,J3,1,ギラヴァンツ北九州,34,19,9,6,51,27,24,66
,,2,ザスパ群馬,34,18,9,7,59,34,25,63
,,3,藤枝ＭＹＦＣ,34,18,9,7,42,31,11,63
,,4,カターレ富山,34,16,10,8,54,31,23,58
,,5,ロアッソ熊本,34,16,9,9,45,39,6,57
,,6,セレッソU-23,34,16,4,14,49,56,-7,52
,,7,ガイナーレ鳥取,34,14,8,12,49,59,-10,50
,,8,ブラウブリッツ秋田,34,13,10,11,45,35,10,49
,,9,AC長野パルセイロ,34,13,10,11,35,34,1,49
,,10,ヴァンラーレ八戸,34,14,6,14,49,42,7,48
,,11,福島ユナイテッドFC,34,13,4,17,45,53,-8,43
,,12,アスルクラロ沼津,34,11,6,17,35,43,-8,39
,,13,Ｙ．Ｓ．Ｃ．Ｃ．横浜,34,12,3,19,53,65,-12,39
,,14,カマタマーレ讃岐,34,10,9,15,33,49,-16,39
,,15,SC相模原,34,10,8,16,36,45,-9,38
,,16,FC東京U-23,34,9,9,16,43,52,-9,36
,,17,ガンバ大阪U-23,34,9,8,17,54,55,-1,35
,,18,いわてグルージャ盛岡,34,7,5,22,36,63,-27,26
2018.0,J3,1,FC琉球,32,20,6,6,70,40,30,66
,,2,鹿児島ユナイテッドFC,32,16,9,7,46,35,11,57
,,3,ガイナーレ鳥取,32,15,8,9,61,47,14,53
,,4,アスルクラロ沼津,32,14,10,8,40,29,11,52
,,5,ザスパ群馬,32,15,7,10,37,35,2,52
,,6,ガンバ大阪U-23,32,13,8,11,53,43,10,47
,,7,セレッソU-23,32,13,7,12,47,36,11,46
,,8,ブラウブリッツ秋田,32,12,7,13,37,35,2,43
,,9,SC相模原,32,12,6,14,42,53,-11,42
,,10,AC長野パルセイロ,32,10,11,11,39,37,2,41
,,11,カターレ富山,32,12,5,15,41,50,-9,41
,,12,福島ユナイテッドFC,32,9,13,10,36,43,-7,40
,,13,いわてグルージャ盛岡,32,12,4,16,41,56,-15,40
,,14,FC東京U-23,32,10,6,16,38,45,-7,36
,,15,Ｙ．Ｓ．Ｃ．Ｃ．横浜,32,8,10,14,40,48,-8,34
,,16,藤枝ＭＹＦＣ,32,10,4,18,32,48,-16,34
,,17,ギラヴァンツ北九州,32,6,9,17,22,42,-20,27
2017.0,J3,1,ブラウブリッツ秋田,32,18,7,7,53,31,22,61
,,2,栃木SC,32,16,12,4,44,24,20,60
,,3,アスルクラロ沼津,32,16,11,5,60,27,33,59
,,4,鹿児島ユナイテッドFC,32,17,4,11,49,37,12,55
,,5,AC長野パルセイロ,32,13,11,8,34,25,9,50
,,6,FC琉球,32,13,11,8,44,36,8,50
,,7,藤枝ＭＹＦＣ,32,12,11,9,50,43,7,47
,,8,カターレ富山,32,13,8,11,37,33,4,47
,,9,ギラヴァンツ北九州,32,13,7,12,44,37,7,46
,,10,福島ユナイテッドFC,32,13,4,15,39,43,-4,43
,,11,FC東京U-23,32,12,7,13,36,47,-11,43
,,12,SC相模原,32,9,12,11,34,41,-7,39
,,13,セレッソU-23,32,8,11,13,39,43,-4,35
,,14,Ｙ．Ｓ．Ｃ．Ｃ．横浜,32,8,8,16,41,54,-13,32
,,15,いわてグルージャ盛岡,32,7,8,17,32,49,-17,29
,,16,ガンバ大阪U-23,32,7,5,20,31,65,-34,26
,,17,ガイナーレ鳥取,32,4,9,19,31,63,-32,21
2016.0,J3,1,大分トリニータ,30,19,4,7,50,24,26,61
,,2,栃木SC,30,17,8,5,38,20,18,59
,,3,AC長野パルセイロ,30,15,7,8,33,22,11,52
,,4,ブラウブリッツ秋田,30,14,8,8,37,26,11,50
,,5,鹿児島ユナイテッドFC,30,15,5,10,39,29,10,50
,,6,カターレ富山,30,13,10,7,37,29,8,49
,,7,藤枝ＭＹＦＣ,30,14,3,13,48,42,6,45
,,8,FC琉球,30,12,8,10,46,46,0,44
,,9,ガンバ大阪U-23,30,10,8,12,42,41,1,38
,,10,FC東京U-23,30,9,9,12,32,31,1,36
,,11,SC相模原,30,9,8,13,29,46,-17,35
,,12,セレッソU-23,30,8,8,14,38,47,-9,32
,,13,いわてグルージャ盛岡,30,6,12,12,43,47,-4,30
,,14,福島ユナイテッドFC,30,7,9,14,35,44,-9,30
,,15,ガイナーレ鳥取,30,8,6,16,30,47,-17,30
,,16,Ｙ．Ｓ．Ｃ．Ｃ．横浜,30,5,5,20,15,51,-36,20
2015.0,J3,1,レノファ山口ＦＣ,36,25,3,8,96,36,60,78
,,2,ＦＣ町田ゼルビア,36,23,9,4,52,18,34,78
,,3,AC長野パルセイロ,36,21,7,8,46,28,18,70
,,4,SC相模原,36,17,7,12,59,51,8,58
,,5,カターレ富山,36,14,10,12,37,36,1,52
,,6,ガイナーレ鳥取,36,14,8,14,47,41,6,50
,,7,福島ユナイテッドFC,36,13,10,13,42,48,-6,49
,,8,ブラウブリッツ秋田,36,12,9,15,37,40,-3,45
,,9,FC琉球,36,12,9,15,45,51,-6,45
,,10,藤枝ＭＹＦＣ,36,11,4,21,37,61,-24,37
,,11,いわてグルージャ盛岡,36,8,11,17,36,47,-11,35
,,12,Jリーグ・アンダー22選抜,36,7,7,22,28,71,-43,28
,,13,Ｙ．Ｓ．Ｃ．Ｃ．横浜,36,7,6,23,24,58,-34,27
2014.0,J3,1,ツエーゲン金沢,33,23,6,4,56,20,36,75
,,2,AC長野パルセイロ,33,20,9,4,58,23,35,69
,,3,ＦＣ町田ゼルビア,33,20,8,5,59,22,37,68
,,4,ガイナーレ鳥取,33,14,11,8,34,25,9,53
,,5,いわてグルージャ盛岡,33,12,9,12,43,39,4,45
,,6,SC相模原,33,12,7,14,44,48,-4,43
,,7,福島ユナイテッドFC,33,9,9,15,30,38,-8,36
,,8,ブラウブリッツ秋田,33,10,4,19,38,57,-19,34
,,9,FC琉球,33,8,10,15,31,50,-19,34
,,10,Jリーグ・アンダー22選抜,33,9,6,18,37,63,-26,33
,,11,藤枝ＭＹＦＣ,33,7,9,17,36,52,-16,30
,,12,Ｙ．Ｓ．Ｃ．Ｃ．横浜,33,4,12,17,29,58,-29,24
